,problem,structure,n_variables,repetition
736,setPack,random,71,3.0
737,setPack,steps,71,4.0
738,setPack,disjoint_rows,71,4.0
739,setPack,almost_diagonal,71,4.0
740,setPack,random,71,4.0
741,FeatSelect,USPS_n72_k14,72,60.0
742,FeatSelect,isolet_n72_k15,72,61.0
743,FeatSelect,gisette_n72_k16,72,62.0
744,FeatSelect,Bioresponse_n72_k17,72,63.0
745,FeatSelect,USPS_n72_k18,72,64.0
746,NumPart,1 to n,72,0.0
747,NumPart,uniform,72,0.0
748,NumPart,geometric,72,0.0
749,NumPart,poisson,72,0.0
750,NumPart,1 to n,72,1.0
751,NumPart,uniform,72,1.0
752,NumPart,geometric,72,1.0
753,NumPart,poisson,72,1.0
754,NumPart,1 to n,72,2.0
755,NumPart,uniform,72,2.0
756,NumPart,geometric,72,2.0
757,NumPart,poisson,72,2.0
758,NumPart,1 to n,72,3.0
759,NumPart,uniform,72,3.0
760,NumPart,geometric,72,3.0
761,NumPart,poisson,72,3.0
762,NumPart,1 to n,72,4.0
763,NumPart,uniform,72,4.0
764,NumPart,geometric,72,4.0
765,NumPart,poisson,72,4.0
766,QKnap,diagonal,72,0.0
767,QKnap,almost_diagonal,72,0.0
768,QKnap,enlarged_diagonal,72,0.0
769,QKnap,random,72,0.0
770,QKnap,diagonal,72,1.0
771,QKnap,almost_diagonal,72,1.0
772,QKnap,enlarged_diagonal,72,1.0
773,QKnap,random,72,1.0
774,QKnap,diagonal,72,2.0
775,QKnap,almost_diagonal,72,2.0
776,QKnap,enlarged_diagonal,72,2.0
777,QKnap,random,72,2.0
778,QKnap,diagonal,72,3.0
779,QKnap,almost_diagonal,72,3.0
780,QKnap,enlarged_diagonal,72,3.0
781,QKnap,random,72,3.0
782,QKnap,diagonal,72,4.0
783,QKnap,almost_diagonal,72,4.0
784,QKnap,enlarged_diagonal,72,4.0
785,QKnap,random,72,4.0
786,commDet,star_topology,72,0.0
787,commDet,2d_grid_topology,72,0.0
788,commDet,cycle_topology,72,0.0
789,commDet,random_topology,72,0.0
790,commDet,star_topology,72,1.0
791,commDet,2d_grid_topology,72,1.0
792,commDet,cycle_topology,72,1.0
793,commDet,random_topology,72,1.0
794,commDet,star_topology,72,2.0
795,commDet,2d_grid_topology,72,2.0
796,commDet,cycle_topology,72,2.0
797,commDet,random_topology,72,2.0
798,commDet,star_topology,72,3.0
799,commDet,2d_grid_topology,72,3.0
800,commDet,cycle_topology,72,3.0
801,commDet,random_topology,72,3.0
802,commDet,star_topology,72,4.0
803,commDet,2d_grid_topology,72,4.0
804,commDet,cycle_topology,72,4.0
805,commDet,random_topology,72,4.0
806,maxClique,star_topology,72,0.0
807,maxClique,2d_grid_topology,72,0.0
808,maxClique,cycle_topology,72,0.0
809,maxClique,random_topology,72,0.0
810,maxClique,star_topology,72,1.0
811,maxClique,2d_grid_topology,72,1.0
812,maxClique,cycle_topology,72,1.0
813,maxClique,random_topology,72,1.0
814,maxClique,star_topology,72,2.0
815,maxClique,2d_grid_topology,72,2.0
816,maxClique,cycle_topology,72,2.0
817,maxClique,random_topology,72,2.0
818,maxClique,star_topology,72,3.0
819,maxClique,2d_grid_topology,72,3.0
820,maxClique,cycle_topology,72,3.0
821,maxClique,random_topology,72,3.0
822,maxClique,star_topology,72,4.0
823,maxClique,2d_grid_topology,72,4.0
824,maxClique,cycle_topology,72,4.0
825,maxClique,random_topology,72,4.0
826,maxCut,star_topology,72,0.0
827,maxCut,2d_grid_topology,72,0.0
828,maxCut,cycle_topology,72,0.0
829,maxCut,random_topology,72,0.0
830,maxCut,star_topology,72,1.0
831,maxCut,2d_grid_topology,72,1.0
832,maxCut,cycle_topology,72,1.0
833,maxCut,random_topology,72,1.0
834,maxCut,star_topology,72,2.0
835,maxCut,2d_grid_topology,72,2.0
836,maxCut,cycle_topology,72,2.0
837,maxCut,random_topology,72,2.0
838,maxCut,star_topology,72,3.0
839,maxCut,2d_grid_topology,72,3.0
840,maxCut,cycle_topology,72,3.0
841,maxCut,random_topology,72,3.0
842,maxCut,star_topology,72,4.0
843,maxCut,2d_grid_topology,72,4.0
844,maxCut,cycle_topology,72,4.0
845,maxCut,random_topology,72,4.0
846,mis,star_topology,72,0.0
847,mis,2d_grid_topology,72,0.0
848,mis,cycle_topology,72,0.0
849,mis,random_topology,72,0.0
850,mis,star_topology,72,1.0
851,mis,2d_grid_topology,72,1.0
852,mis,cycle_topology,72,1.0
853,mis,random_topology,72,1.0
854,mis,star_topology,72,2.0
855,mis,2d_grid_topology,72,2.0
856,mis,cycle_topology,72,2.0
857,mis,random_topology,72,2.0
858,mis,star_topology,72,3.0
859,mis,2d_grid_topology,72,3.0
860,mis,cycle_topology,72,3.0
861,mis,random_topology,72,3.0
862,mis,star_topology,72,4.0
863,mis,2d_grid_topology,72,4.0
864,mis,cycle_topology,72,4.0
865,mis,random_topology,72,4.0
866,mvc,star_topology,72,0.0
867,mvc,2d_grid_topology,72,0.0
868,mvc,cycle_topology,72,0.0
869,mvc,random_topology,72,0.0
870,mvc,star_topology,72,1.0
871,mvc,2d_grid_topology,72,1.0
872,mvc,cycle_topology,72,1.0
873,mvc,random_topology,72,1.0
874,mvc,star_topology,72,2.0
875,mvc,2d_grid_topology,72,2.0
876,mvc,cycle_topology,72,2.0
877,mvc,random_topology,72,2.0
878,mvc,star_topology,72,3.0
879,mvc,2d_grid_topology,72,3.0
880,mvc,cycle_topology,72,3.0
881,mvc,random_topology,72,3.0
882,mvc,star_topology,72,4.0
883,mvc,2d_grid_topology,72,4.0
884,mvc,cycle_topology,72,4.0
885,mvc,random_topology,72,4.0
886,setPack,steps,72,0.0
887,setPack,disjoint_rows,72,0.0
888,setPack,almost_diagonal,72,0.0
889,setPack,random,72,0.0
890,setPack,steps,72,1.0
891,setPack,disjoint_rows,72,1.0
892,setPack,almost_diagonal,72,1.0
893,setPack,random,72,1.0
894,setPack,steps,72,2.0
895,setPack,disjoint_rows,72,2.0
896,setPack,almost_diagonal,72,2.0
897,setPack,random,72,2.0
898,setPack,steps,72,3.0
899,setPack,disjoint_rows,72,3.0
900,setPack,almost_diagonal,72,3.0
901,setPack,random,72,3.0
902,setPack,steps,72,4.0
903,setPack,disjoint_rows,72,4.0
904,setPack,almost_diagonal,72,4.0
905,setPack,random,72,4.0
906,FeatSelect,isolet_n73_k14,73,65.0
907,FeatSelect,gisette_n73_k15,73,66.0
908,FeatSelect,Bioresponse_n73_k16,73,67.0
909,FeatSelect,USPS_n73_k17,73,68.0
910,FeatSelect,isolet_n73_k18,73,69.0
911,NumPart,1 to n,73,0.0
912,NumPart,uniform,73,0.0
913,NumPart,geometric,73,0.0
914,NumPart,poisson,73,0.0
915,NumPart,1 to n,73,1.0
916,NumPart,uniform,73,1.0
917,NumPart,geometric,73,1.0
918,NumPart,poisson,73,1.0
919,NumPart,1 to n,73,2.0
920,NumPart,uniform,73,2.0
921,NumPart,geometric,73,2.0
922,NumPart,poisson,73,2.0
923,NumPart,1 to n,73,3.0
924,NumPart,uniform,73,3.0
925,NumPart,geometric,73,3.0
926,NumPart,poisson,73,3.0
927,NumPart,1 to n,73,4.0
928,NumPart,uniform,73,4.0
929,NumPart,geometric,73,4.0
930,NumPart,poisson,73,4.0
931,QKnap,diagonal,73,0.0
932,QKnap,almost_diagonal,73,0.0
933,QKnap,enlarged_diagonal,73,0.0
934,QKnap,random,73,0.0
935,QKnap,diagonal,73,1.0
936,QKnap,almost_diagonal,73,1.0
937,QKnap,enlarged_diagonal,73,1.0
938,QKnap,random,73,1.0
939,QKnap,diagonal,73,2.0
940,QKnap,almost_diagonal,73,2.0
941,QKnap,enlarged_diagonal,73,2.0
942,QKnap,random,73,2.0
943,QKnap,diagonal,73,3.0
944,QKnap,almost_diagonal,73,3.0
945,QKnap,enlarged_diagonal,73,3.0
946,QKnap,random,73,3.0
947,QKnap,diagonal,73,4.0
948,QKnap,almost_diagonal,73,4.0
949,QKnap,enlarged_diagonal,73,4.0
950,QKnap,random,73,4.0
951,commDet,star_topology,73,0.0
952,commDet,2d_grid_topology,73,0.0
953,commDet,cycle_topology,73,0.0
954,commDet,random_topology,73,0.0
955,commDet,star_topology,73,1.0
956,commDet,2d_grid_topology,73,1.0
957,commDet,cycle_topology,73,1.0
958,commDet,random_topology,73,1.0
959,commDet,star_topology,73,2.0
960,commDet,2d_grid_topology,73,2.0
961,commDet,cycle_topology,73,2.0
962,commDet,random_topology,73,2.0
963,commDet,star_topology,73,3.0
964,commDet,2d_grid_topology,73,3.0
965,commDet,cycle_topology,73,3.0
966,commDet,random_topology,73,3.0
967,commDet,star_topology,73,4.0
968,commDet,2d_grid_topology,73,4.0
969,commDet,cycle_topology,73,4.0
970,commDet,random_topology,73,4.0
971,maxClique,star_topology,73,0.0
972,maxClique,2d_grid_topology,73,0.0
973,maxClique,cycle_topology,73,0.0
974,maxClique,random_topology,73,0.0
975,maxClique,star_topology,73,1.0
976,maxClique,2d_grid_topology,73,1.0
977,maxClique,cycle_topology,73,1.0
978,maxClique,random_topology,73,1.0
979,maxClique,star_topology,73,2.0
980,maxClique,2d_grid_topology,73,2.0
981,maxClique,cycle_topology,73,2.0
982,maxClique,random_topology,73,2.0
983,maxClique,star_topology,73,3.0
984,maxClique,2d_grid_topology,73,3.0
985,maxClique,cycle_topology,73,3.0
986,maxClique,random_topology,73,3.0
987,maxClique,star_topology,73,4.0
988,maxClique,2d_grid_topology,73,4.0
989,maxClique,cycle_topology,73,4.0
990,maxClique,random_topology,73,4.0
991,maxCut,star_topology,73,0.0
992,maxCut,2d_grid_topology,73,0.0
993,maxCut,cycle_topology,73,0.0
994,maxCut,random_topology,73,0.0
995,maxCut,star_topology,73,1.0
996,maxCut,2d_grid_topology,73,1.0
997,maxCut,cycle_topology,73,1.0
998,maxCut,random_topology,73,1.0
999,maxCut,star_topology,73,2.0
1000,maxCut,2d_grid_topology,73,2.0
1001,maxCut,cycle_topology,73,2.0
1002,maxCut,random_topology,73,2.0
1003,maxCut,star_topology,73,3.0
1004,maxCut,2d_grid_topology,73,3.0
1005,maxCut,cycle_topology,73,3.0
1006,maxCut,random_topology,73,3.0
1007,maxCut,star_topology,73,4.0
1008,maxCut,2d_grid_topology,73,4.0
1009,maxCut,cycle_topology,73,4.0
1010,maxCut,random_topology,73,4.0
1011,mis,star_topology,73,0.0
1012,mis,2d_grid_topology,73,0.0
1013,mis,cycle_topology,73,0.0
1014,mis,random_topology,73,0.0
1015,mis,star_topology,73,1.0
1016,mis,2d_grid_topology,73,1.0
1017,mis,cycle_topology,73,1.0
1018,mis,random_topology,73,1.0
1019,mis,star_topology,73,2.0
1020,mis,2d_grid_topology,73,2.0
1021,mis,cycle_topology,73,2.0
1022,mis,random_topology,73,2.0
1023,mis,star_topology,73,3.0
1024,mis,2d_grid_topology,73,3.0
1025,mis,cycle_topology,73,3.0
1026,mis,random_topology,73,3.0
1027,mis,star_topology,73,4.0
1028,mis,2d_grid_topology,73,4.0
1029,mis,cycle_topology,73,4.0
1030,mis,random_topology,73,4.0
1031,mvc,star_topology,73,0.0
1032,mvc,2d_grid_topology,73,0.0
1033,mvc,cycle_topology,73,0.0
1034,mvc,random_topology,73,0.0
1035,mvc,star_topology,73,1.0
1036,mvc,2d_grid_topology,73,1.0
1037,mvc,cycle_topology,73,1.0
1038,mvc,random_topology,73,1.0
1039,mvc,star_topology,73,2.0
1040,mvc,2d_grid_topology,73,2.0
1041,mvc,cycle_topology,73,2.0
1042,mvc,random_topology,73,2.0
1043,mvc,star_topology,73,3.0
1044,mvc,2d_grid_topology,73,3.0
1045,mvc,cycle_topology,73,3.0
1046,mvc,random_topology,73,3.0
1047,mvc,star_topology,73,4.0
1048,mvc,2d_grid_topology,73,4.0
1049,mvc,cycle_topology,73,4.0
1050,mvc,random_topology,73,4.0
1051,setPack,steps,73,0.0
1052,setPack,disjoint_rows,73,0.0
1053,setPack,almost_diagonal,73,0.0
1054,setPack,random,73,0.0
1055,setPack,steps,73,1.0
1056,setPack,disjoint_rows,73,1.0
1057,setPack,almost_diagonal,73,1.0
1058,setPack,random,73,1.0
1059,setPack,steps,73,2.0
1060,setPack,disjoint_rows,73,2.0
1061,setPack,almost_diagonal,73,2.0
1062,setPack,random,73,2.0
1063,setPack,steps,73,3.0
1064,setPack,disjoint_rows,73,3.0
1065,setPack,almost_diagonal,73,3.0
1066,setPack,random,73,3.0
1067,setPack,steps,73,4.0
1068,setPack,disjoint_rows,73,4.0
1069,setPack,almost_diagonal,73,4.0
1070,setPack,random,73,4.0
1071,FeatSelect,gisette_n74_k14,74,70.0
1072,FeatSelect,Bioresponse_n74_k15,74,71.0
1073,FeatSelect,USPS_n74_k16,74,72.0
1074,FeatSelect,isolet_n74_k17,74,73.0
1075,FeatSelect,gisette_n74_k18,74,74.0
1076,NumPart,1 to n,74,0.0
1077,NumPart,uniform,74,0.0
1078,NumPart,geometric,74,0.0
1079,NumPart,poisson,74,0.0
1080,NumPart,1 to n,74,1.0
1081,NumPart,uniform,74,1.0
1082,NumPart,geometric,74,1.0
1083,NumPart,poisson,74,1.0
1084,NumPart,1 to n,74,2.0
1085,NumPart,uniform,74,2.0
1086,NumPart,geometric,74,2.0
1087,NumPart,poisson,74,2.0
1088,NumPart,1 to n,74,3.0
1089,NumPart,uniform,74,3.0
1090,NumPart,geometric,74,3.0
1091,NumPart,poisson,74,3.0
1092,NumPart,1 to n,74,4.0
1093,NumPart,uniform,74,4.0
1094,NumPart,geometric,74,4.0
1095,NumPart,poisson,74,4.0
1096,QKnap,diagonal,74,0.0
1097,QKnap,almost_diagonal,74,0.0
1098,QKnap,enlarged_diagonal,74,0.0
1099,QKnap,random,74,0.0
1100,QKnap,diagonal,74,1.0
1101,QKnap,almost_diagonal,74,1.0
1102,QKnap,enlarged_diagonal,74,1.0
1103,QKnap,random,74,1.0
1104,QKnap,diagonal,74,2.0
1105,QKnap,almost_diagonal,74,2.0
1106,QKnap,enlarged_diagonal,74,2.0
1107,QKnap,random,74,2.0
1108,QKnap,diagonal,74,3.0
1109,QKnap,almost_diagonal,74,3.0
1110,QKnap,enlarged_diagonal,74,3.0
1111,QKnap,random,74,3.0
1112,QKnap,diagonal,74,4.0
1113,QKnap,almost_diagonal,74,4.0
1114,QKnap,enlarged_diagonal,74,4.0
1115,QKnap,random,74,4.0
1116,commDet,star_topology,74,0.0
1117,commDet,2d_grid_topology,74,0.0
1118,commDet,cycle_topology,74,0.0
1119,commDet,random_topology,74,0.0
1120,commDet,star_topology,74,1.0
1121,commDet,2d_grid_topology,74,1.0
1122,commDet,cycle_topology,74,1.0
1123,commDet,random_topology,74,1.0
1124,commDet,star_topology,74,2.0
1125,commDet,2d_grid_topology,74,2.0
1126,commDet,cycle_topology,74,2.0
1127,commDet,random_topology,74,2.0
1128,commDet,star_topology,74,3.0
1129,commDet,2d_grid_topology,74,3.0
1130,commDet,cycle_topology,74,3.0
1131,commDet,random_topology,74,3.0
1132,commDet,star_topology,74,4.0
1133,commDet,2d_grid_topology,74,4.0
1134,commDet,cycle_topology,74,4.0
1135,commDet,random_topology,74,4.0
1136,maxClique,star_topology,74,0.0
1137,maxClique,2d_grid_topology,74,0.0
1138,maxClique,cycle_topology,74,0.0
1139,maxClique,random_topology,74,0.0
1140,maxClique,star_topology,74,1.0
1141,maxClique,2d_grid_topology,74,1.0
1142,maxClique,cycle_topology,74,1.0
1143,maxClique,random_topology,74,1.0
1144,maxClique,star_topology,74,2.0
1145,maxClique,2d_grid_topology,74,2.0
1146,maxClique,cycle_topology,74,2.0
1147,maxClique,random_topology,74,2.0
1148,maxClique,star_topology,74,3.0
1149,maxClique,2d_grid_topology,74,3.0
1150,maxClique,cycle_topology,74,3.0
1151,maxClique,random_topology,74,3.0
1152,maxClique,star_topology,74,4.0
1153,maxClique,2d_grid_topology,74,4.0
1154,maxClique,cycle_topology,74,4.0
1155,maxClique,random_topology,74,4.0
1156,maxCut,star_topology,74,0.0
1157,maxCut,2d_grid_topology,74,0.0
1158,maxCut,cycle_topology,74,0.0
1159,maxCut,random_topology,74,0.0
1160,maxCut,star_topology,74,1.0
1161,maxCut,2d_grid_topology,74,1.0
1162,maxCut,cycle_topology,74,1.0
1163,maxCut,random_topology,74,1.0
1164,maxCut,star_topology,74,2.0
1165,maxCut,2d_grid_topology,74,2.0
1166,maxCut,cycle_topology,74,2.0
1167,maxCut,random_topology,74,2.0
1168,maxCut,star_topology,74,3.0
1169,maxCut,2d_grid_topology,74,3.0
1170,maxCut,cycle_topology,74,3.0
1171,maxCut,random_topology,74,3.0
1172,maxCut,star_topology,74,4.0
1173,maxCut,2d_grid_topology,74,4.0
1174,maxCut,cycle_topology,74,4.0
1175,maxCut,random_topology,74,4.0
1176,mis,star_topology,74,0.0
1177,mis,2d_grid_topology,74,0.0
1178,mis,cycle_topology,74,0.0
1179,mis,random_topology,74,0.0
1180,mis,star_topology,74,1.0
1181,mis,2d_grid_topology,74,1.0
1182,mis,cycle_topology,74,1.0
1183,mis,random_topology,74,1.0
1184,mis,star_topology,74,2.0
1185,mis,2d_grid_topology,74,2.0
1186,mis,cycle_topology,74,2.0
1187,mis,random_topology,74,2.0
1188,mis,star_topology,74,3.0
1189,mis,2d_grid_topology,74,3.0
1190,mis,cycle_topology,74,3.0
1191,mis,random_topology,74,3.0
1192,mis,star_topology,74,4.0
1193,mis,2d_grid_topology,74,4.0
1194,mis,cycle_topology,74,4.0
1195,mis,random_topology,74,4.0
1196,mvc,star_topology,74,0.0
1197,mvc,2d_grid_topology,74,0.0
1198,mvc,cycle_topology,74,0.0
1199,mvc,random_topology,74,0.0
1200,mvc,star_topology,74,1.0
1201,mvc,2d_grid_topology,74,1.0
1202,mvc,cycle_topology,74,1.0
1203,mvc,random_topology,74,1.0
1204,mvc,star_topology,74,2.0
1205,mvc,2d_grid_topology,74,2.0
1206,mvc,cycle_topology,74,2.0
1207,mvc,random_topology,74,2.0
1208,mvc,star_topology,74,3.0
1209,mvc,2d_grid_topology,74,3.0
1210,mvc,cycle_topology,74,3.0
1211,mvc,random_topology,74,3.0
1212,mvc,star_topology,74,4.0
1213,mvc,2d_grid_topology,74,4.0
1214,mvc,cycle_topology,74,4.0
1215,mvc,random_topology,74,4.0
1216,setPack,steps,74,0.0
1217,setPack,disjoint_rows,74,0.0
1218,setPack,almost_diagonal,74,0.0
1219,setPack,random,74,0.0
1220,setPack,steps,74,1.0
1221,setPack,disjoint_rows,74,1.0
1222,setPack,almost_diagonal,74,1.0
1223,setPack,random,74,1.0
1224,setPack,steps,74,2.0
1225,setPack,disjoint_rows,74,2.0
1226,setPack,almost_diagonal,74,2.0
1227,setPack,random,74,2.0
1228,setPack,steps,74,3.0
1229,setPack,disjoint_rows,74,3.0
1230,setPack,almost_diagonal,74,3.0
1231,setPack,random,74,3.0
1232,setPack,steps,74,4.0
1233,setPack,disjoint_rows,74,4.0
1234,setPack,almost_diagonal,74,4.0
1235,setPack,random,74,4.0
1236,FeatSelect,Bioresponse_n75_k15,75,75.0
1237,FeatSelect,USPS_n75_k16,75,76.0
1238,FeatSelect,isolet_n75_k17,75,77.0
1239,FeatSelect,gisette_n75_k18,75,78.0
1240,FeatSelect,Bioresponse_n75_k19,75,79.0
1241,NumPart,1 to n,75,0.0
1242,NumPart,uniform,75,0.0
1243,NumPart,geometric,75,0.0
1244,NumPart,poisson,75,0.0
1245,NumPart,1 to n,75,1.0
1246,NumPart,uniform,75,1.0
1247,NumPart,geometric,75,1.0
1248,NumPart,poisson,75,1.0
1249,NumPart,1 to n,75,2.0
1250,NumPart,uniform,75,2.0
1251,NumPart,geometric,75,2.0
1252,NumPart,poisson,75,2.0
1253,NumPart,1 to n,75,3.0
1254,NumPart,uniform,75,3.0
1255,NumPart,geometric,75,3.0
1256,NumPart,poisson,75,3.0
1257,NumPart,1 to n,75,4.0
1258,NumPart,uniform,75,4.0
1259,NumPart,geometric,75,4.0
1260,NumPart,poisson,75,4.0
1261,QKnap,diagonal,75,0.0
1262,QKnap,almost_diagonal,75,0.0
1263,QKnap,enlarged_diagonal,75,0.0
1264,QKnap,random,75,0.0
1265,QKnap,diagonal,75,1.0
1266,QKnap,almost_diagonal,75,1.0
1267,QKnap,enlarged_diagonal,75,1.0
1268,QKnap,random,75,1.0
1269,QKnap,diagonal,75,2.0
1270,QKnap,almost_diagonal,75,2.0
1271,QKnap,enlarged_diagonal,75,2.0
1272,QKnap,random,75,2.0
1273,QKnap,diagonal,75,3.0
1274,QKnap,almost_diagonal,75,3.0
1275,QKnap,enlarged_diagonal,75,3.0
1276,QKnap,random,75,3.0
1277,QKnap,diagonal,75,4.0
1278,QKnap,almost_diagonal,75,4.0
1279,QKnap,enlarged_diagonal,75,4.0
1280,QKnap,random,75,4.0
1281,commDet,star_topology,75,0.0
1282,commDet,2d_grid_topology,75,0.0
1283,commDet,cycle_topology,75,0.0
1284,commDet,random_topology,75,0.0
1285,commDet,star_topology,75,1.0
1286,commDet,2d_grid_topology,75,1.0
1287,commDet,cycle_topology,75,1.0
1288,commDet,random_topology,75,1.0
1289,commDet,star_topology,75,2.0
1290,commDet,2d_grid_topology,75,2.0
1291,commDet,cycle_topology,75,2.0
1292,commDet,random_topology,75,2.0
1293,commDet,star_topology,75,3.0
1294,commDet,2d_grid_topology,75,3.0
1295,commDet,cycle_topology,75,3.0
1296,commDet,random_topology,75,3.0
1297,commDet,star_topology,75,4.0
1298,commDet,2d_grid_topology,75,4.0
1299,commDet,cycle_topology,75,4.0
1300,commDet,random_topology,75,4.0
1301,maxClique,star_topology,75,0.0
1302,maxClique,2d_grid_topology,75,0.0
1303,maxClique,cycle_topology,75,0.0
1304,maxClique,random_topology,75,0.0
1305,maxClique,star_topology,75,1.0
1306,maxClique,2d_grid_topology,75,1.0
1307,maxClique,cycle_topology,75,1.0
1308,maxClique,random_topology,75,1.0
1309,maxClique,star_topology,75,2.0
1310,maxClique,2d_grid_topology,75,2.0
1311,maxClique,cycle_topology,75,2.0
1312,maxClique,random_topology,75,2.0
1313,maxClique,star_topology,75,3.0
1314,maxClique,2d_grid_topology,75,3.0
1315,maxClique,cycle_topology,75,3.0
1316,maxClique,random_topology,75,3.0
1317,maxClique,star_topology,75,4.0
1318,maxClique,2d_grid_topology,75,4.0
1319,maxClique,cycle_topology,75,4.0
1320,maxClique,random_topology,75,4.0
1321,maxCut,star_topology,75,0.0
1322,maxCut,2d_grid_topology,75,0.0
1323,maxCut,cycle_topology,75,0.0
1324,maxCut,random_topology,75,0.0
1325,maxCut,star_topology,75,1.0
1326,maxCut,2d_grid_topology,75,1.0
1327,maxCut,cycle_topology,75,1.0
1328,maxCut,random_topology,75,1.0
1329,maxCut,star_topology,75,2.0
1330,maxCut,2d_grid_topology,75,2.0
1331,maxCut,cycle_topology,75,2.0
1332,maxCut,random_topology,75,2.0
1333,maxCut,star_topology,75,3.0
1334,maxCut,2d_grid_topology,75,3.0
1335,maxCut,cycle_topology,75,3.0
1336,maxCut,random_topology,75,3.0
1337,maxCut,star_topology,75,4.0
1338,maxCut,2d_grid_topology,75,4.0
1339,maxCut,cycle_topology,75,4.0
1340,maxCut,random_topology,75,4.0
1341,mis,star_topology,75,0.0
1342,mis,2d_grid_topology,75,0.0
1343,mis,cycle_topology,75,0.0
1344,mis,random_topology,75,0.0
1345,mis,star_topology,75,1.0
1346,mis,2d_grid_topology,75,1.0
1347,mis,cycle_topology,75,1.0
1348,mis,random_topology,75,1.0
1349,mis,star_topology,75,2.0
1350,mis,2d_grid_topology,75,2.0
1351,mis,cycle_topology,75,2.0
1352,mis,random_topology,75,2.0
1353,mis,star_topology,75,3.0
1354,mis,2d_grid_topology,75,3.0
1355,mis,cycle_topology,75,3.0
1356,mis,random_topology,75,3.0
1357,mis,star_topology,75,4.0
1358,mis,2d_grid_topology,75,4.0
1359,mis,cycle_topology,75,4.0
1360,mis,random_topology,75,4.0
1361,mvc,star_topology,75,0.0
1362,mvc,2d_grid_topology,75,0.0
1363,mvc,cycle_topology,75,0.0
1364,mvc,random_topology,75,0.0
1365,mvc,star_topology,75,1.0
1366,mvc,2d_grid_topology,75,1.0
1367,mvc,cycle_topology,75,1.0
1368,mvc,random_topology,75,1.0
1369,mvc,star_topology,75,2.0
1370,mvc,2d_grid_topology,75,2.0
1371,mvc,cycle_topology,75,2.0
1372,mvc,random_topology,75,2.0
1373,mvc,star_topology,75,3.0
1374,mvc,2d_grid_topology,75,3.0
1375,mvc,cycle_topology,75,3.0
1376,mvc,random_topology,75,3.0
1377,mvc,star_topology,75,4.0
1378,mvc,2d_grid_topology,75,4.0
1379,mvc,cycle_topology,75,4.0
1380,mvc,random_topology,75,4.0
1381,setPack,steps,75,0.0
1382,setPack,disjoint_rows,75,0.0
1383,setPack,almost_diagonal,75,0.0
1384,setPack,random,75,0.0
1385,setPack,steps,75,1.0
1386,setPack,disjoint_rows,75,1.0
1387,setPack,almost_diagonal,75,1.0
1388,setPack,random,75,1.0
1389,setPack,steps,75,2.0
1390,setPack,disjoint_rows,75,2.0
1391,setPack,almost_diagonal,75,2.0
1392,setPack,random,75,2.0
1393,setPack,steps,75,3.0
1394,setPack,disjoint_rows,75,3.0
1395,setPack,almost_diagonal,75,3.0
1396,setPack,random,75,3.0
1397,setPack,steps,75,4.0
1398,setPack,disjoint_rows,75,4.0
1399,setPack,almost_diagonal,75,4.0
1400,setPack,random,75,4.0
1401,FeatSelect,USPS_n76_k15,76,80.0
1402,FeatSelect,isolet_n76_k16,76,81.0
1403,FeatSelect,gisette_n76_k17,76,82.0
1404,FeatSelect,Bioresponse_n76_k18,76,83.0
1405,FeatSelect,USPS_n76_k19,76,84.0
1406,NumPart,1 to n,76,0.0
1407,NumPart,uniform,76,0.0
1408,NumPart,geometric,76,0.0
1409,NumPart,poisson,76,0.0
1410,NumPart,1 to n,76,1.0
1411,NumPart,uniform,76,1.0
1412,NumPart,geometric,76,1.0
1413,NumPart,poisson,76,1.0
1414,NumPart,1 to n,76,2.0
1415,NumPart,uniform,76,2.0
1416,NumPart,geometric,76,2.0
1417,NumPart,poisson,76,2.0
1418,NumPart,1 to n,76,3.0
1419,NumPart,uniform,76,3.0
1420,NumPart,geometric,76,3.0
1421,NumPart,poisson,76,3.0
1422,NumPart,1 to n,76,4.0
1423,NumPart,uniform,76,4.0
1424,NumPart,geometric,76,4.0
1425,NumPart,poisson,76,4.0
1426,QKnap,diagonal,76,0.0
1427,QKnap,almost_diagonal,76,0.0
1428,QKnap,enlarged_diagonal,76,0.0
1429,QKnap,random,76,0.0
1430,QKnap,diagonal,76,1.0
1431,QKnap,almost_diagonal,76,1.0
1432,QKnap,enlarged_diagonal,76,1.0
1433,QKnap,random,76,1.0
1434,QKnap,diagonal,76,2.0
1435,QKnap,almost_diagonal,76,2.0
1436,QKnap,enlarged_diagonal,76,2.0
1437,QKnap,random,76,2.0
1438,QKnap,diagonal,76,3.0
1439,QKnap,almost_diagonal,76,3.0
1440,QKnap,enlarged_diagonal,76,3.0
1441,QKnap,random,76,3.0
1442,QKnap,diagonal,76,4.0
1443,QKnap,almost_diagonal,76,4.0
1444,QKnap,enlarged_diagonal,76,4.0
1445,QKnap,random,76,4.0
1446,commDet,star_topology,76,0.0
1447,commDet,2d_grid_topology,76,0.0
1448,commDet,cycle_topology,76,0.0
1449,commDet,random_topology,76,0.0
1450,commDet,star_topology,76,1.0
1451,commDet,2d_grid_topology,76,1.0
1452,commDet,cycle_topology,76,1.0
1453,commDet,random_topology,76,1.0
1454,commDet,star_topology,76,2.0
1455,commDet,2d_grid_topology,76,2.0
1456,commDet,cycle_topology,76,2.0
1457,commDet,random_topology,76,2.0
1458,commDet,star_topology,76,3.0
1459,commDet,2d_grid_topology,76,3.0
1460,commDet,cycle_topology,76,3.0
